"","sigma_s","rew_multi","sigma","rho","reward"
"275",0.3,5,1.5,1.4,16627.0344081744
"276",0.3,5,1.6,1.4,16600.0797480989
"277",0.3,5,1.7,1.4,16577.5442716911
"278",0.3,5,1.8,1.4,16558.5201481379
"279",0.3,5,1.9,1.4,16542.3194988582
"280",0.3,5,2,1.4,16528.4138488049
"281",0.3,5,0.1,1.5,21941.9142803514
"282",0.3,5,0.2,1.5,20905.9046111152
"283",0.3,5,0.3,1.5,19655.7192381167
"284",0.3,5,0.4,1.5,18650.9591172114
"285",0.3,5,0.5,1.5,18043.5588929114
"286",0.3,5,0.6,1.5,17663.9197968853
"287",0.3,5,0.7,1.5,17410.4111745089
"288",0.3,5,0.8,1.5,17233.0346833651
"289",0.3,5,0.9,1.5,17104.4843294211
"290",0.3,5,1,1.5,17008.6284754125
"291",0.3,5,1.1,1.5,16935.4211790181
"292",0.3,5,1.2,1.5,16878.3537311859
"293",0.3,5,1.3,1.5,16833.0707457752
"294",0.3,5,1.4,1.5,16796.5763698583
"295",0.3,5,1.5,1.5,16766.7597822529
"296",0.3,5,1.6,1.5,16742.1018061507
"297",0.3,5,1.7,1.5,16721.4881735524
"298",0.3,5,1.8,1.5,16704.0876018599
"299",0.3,5,1.9,1.5,16689.2703532625
"300",0.3,5,2,1.5,16676.5527062229
"301",0.3,5,0.1,1.6,21920.9326776918
"302",0.3,5,0.2,1.6,20867.0674822637
"303",0.3,5,0.3,1.6,19605.8847044887
"304",0.3,5,0.4,1.6,18631.7486850368
"305",0.3,5,0.5,1.6,18063.8138167719
"306",0.3,5,0.6,1.6,17712.8980244918
"307",0.3,5,0.7,1.6,17479.4156337813
"308",0.3,5,0.8,1.6,17316.3217772366
"309",0.3,5,0.9,1.6,17198.2393976472
"310",0.3,5,1,1.6,17110.2481756036
"311",0.3,5,1.1,1.6,17043.0797276087
"312",0.3,5,1.2,1.6,16990.7386527055
"313",0.3,5,1.3,1.6,16949.2175371132
"314",0.3,5,1.4,1.6,16915.762172135
"315",0.3,5,1.5,1.6,16888.433233305
"316",0.3,5,1.6,1.6,16865.835671396
"317",0.3,5,1.7,1.6,16846.9466722779
"318",0.3,5,1.8,1.6,16831.0034293754
"319",0.3,5,1.9,1.6,16817.4282334223
"320",0.3,5,2,1.6,16805.7774263524
"321",0.3,5,0.1,1.7,21898.6600268156
"322",0.3,5,0.2,1.7,20824.6217825982
"323",0.3,5,0.3,1.7,19551.3840016117
"324",0.3,5,0.4,1.7,18608.8993646393
"325",0.3,5,0.5,1.7,18078.4189147807
"326",0.3,5,0.6,1.7,17753.6626287549
"327",0.3,5,0.7,1.7,17538.1445093433
"328",0.3,5,0.8,1.7,17387.7897515132
"329",0.3,5,0.9,1.7,17279.0239728079
"330",0.3,5,1,1.7,17198.0273519493
"331",0.3,5,1.1,1.7,17136.229134247
"332",0.3,5,1.2,1.7,17088.0917711048
"333",0.3,5,1.3,1.7,17049.9173715319
"334",0.3,5,1.4,1.7,17019.1664035896
"335",0.3,5,1.5,1.7,16994.0518291873
"336",0.3,5,1.6,1.7,16973.2888149279
"337",0.3,5,1.7,1.7,16955.9357619322
"338",0.3,5,1.8,1.7,16941.2906880471
"339",0.3,5,1.9,1.7,16928.8221119484
"340",0.3,5,2,1.7,16918.1219830107
"341",0.3,5,0.1,1.8,21875.380438249
"342",0.3,5,0.2,1.8,20779.2244092051
"343",0.3,5,0.3,1.8,19493.516797831
"344",0.3,5,0.4,1.8,18583.8838869503
"345",0.3,5,0.5,1.8,18088.6974493056
"346",0.3,5,0.6,1.8,17787.5975384211
"347",0.3,5,0.7,1.8,17588.0897846151
"348",0.3,5,0.8,1.8,17449.0268952041
"349",0.3,5,0.9,1.8,17348.5021264466
"350",0.3,5,1,1.8,17273.6880826512
"351",0.3,5,1.1,1.8,17216.635920358
"352",0.3,5,1.2,1.8,17172.2140244155
"353",0.3,5,1.3,1.8,17136.9982080773
"354",0.3,5,1.4,1.8,17108.6385419862
"355",0.3,5,1.5,1.8,17085.4824204318
"356",0.3,5,1.6,1.8,17066.3422924111
"357",0.3,5,1.7,1.8,17050.3482494343
"358",0.3,5,1.8,1.8,17036.8520097986
"359",0.3,5,1.9,1.8,17025.3629148531
"360",0.3,5,2,1.8,17015.5043655257
"361",0.3,5,0.1,1.9,21851.342842518
"362",0.3,5,0.2,1.9,20731.4539319201
"363",0.3,5,0.3,1.9,19433.4386711357
"364",0.3,5,0.4,1.9,18557.8956500419
"365",0.3,5,0.5,1.9,18095.714688667
"366",0.3,5,0.6,1.9,17815.8657936118
"367",0.3,5,0.7,1.9,17630.5443045343
"368",0.3,5,0.8,1.9,17501.4359482205
"369",0.3,5,0.9,1.9,17408.1619180257
"370",0.3,5,1,1.9,17338.7836536067
"371",0.3,5,1.1,1.9,17285.9035181217
"372",0.3,5,1.2,1.9,17244.7478788531
"373",0.3,5,1.3,1.9,17212.1333326118
"374",0.3,5,1.4,1.9,17185.8765538065
"375",0.3,5,1.5,1.9,17164.443003375
"376",0.3,5,1.6,1.9,17146.7305566821
"377",0.3,5,1.7,1.9,17131.932260666
"378",0.3,5,1.8,1.9,17119.4469971533
"379",0.3,5,1.9,1.9,17108.8199671528
"380",0.3,5,2,1.9,17099.7022048129
"381",0.3,5,0.1,2,21826.7627312812
"382",0.3,5,0.2,2,20681.8182726035
"383",0.3,5,0.3,2,19372.1702750998
"384",0.3,5,0.4,2,18531.871462726
"385",0.3,5,0.5,2,18100.3137924971
"386",0.3,5,0.6,2,17839.4377517355
"387",0.3,5,0.7,2,17666.6213098664
"388",0.3,5,0.8,2,17546.2467079309
"389",0.3,5,0.9,2,17459.3226480275
"390",0.3,5,1,2,17394.7016455518
"391",0.3,5,1.1,2,17345.4720726475
"392",0.3,5,1.2,2,17307.1745054689
"393",0.3,5,1.3,2,17276.8364091856
"394",0.3,5,1.4,2,17252.4202050011
"395",0.3,5,1.5,2,17232.4945899319
"396",0.3,5,1.6,2,17216.0321228117
"397",0.3,5,1.7,2,17202.2808892318
"398",0.3,5,1.8,2,17190.6810075223
"399",0.3,5,1.9,2,17180.8090362373
"400",0.3,5,2,2,17172.3401772764
"401",0.3,10,0.1,0.1,21864.9674284337
"402",0.3,10,0.2,0.1,20512.8961143606
"403",0.3,10,0.3,0.1,18839.4683014712
"404",0.3,10,0.4,0.1,17154.8208425264
"405",0.3,10,0.5,0.1,15810.7160669497
"406",0.3,10,0.6,0.1,14848.4342718146
"407",0.3,10,0.7,0.1,14174.4246157335
"408",0.3,10,0.8,0.1,13696.7074509643
"409",0.3,10,0.9,0.1,13350.5103991703
"410",0.3,10,1,0.1,13093.54812656
"411",0.3,10,1.1,0.1,12898.4497445231
"412",0.3,10,1.2,0.1,12747.2546406746
"413",0.3,10,1.3,0.1,12627.9278327182
"414",0.3,10,1.4,0.1,12532.2207261544
"415",0.3,10,1.5,0.1,12454.3539328091
"416",0.3,10,1.6,0.1,12390.1936980955
"417",0.3,10,1.7,0.1,12336.726657695
"418",0.3,10,1.8,0.1,12291.7177754596
"419",0.3,10,1.9,0.1,12253.4829473576
"420",0.3,10,2,0.1,12220.7348432288
"421",0.3,10,0.1,0.2,21907.9045130694
"422",0.3,10,0.2,0.2,20633.8064445195
"423",0.3,10,0.3,0.2,19050.7988749056
"424",0.3,10,0.4,0.2,17452.2017845807
"425",0.3,10,0.5,0.2,16171.3502913705
"426",0.3,10,0.6,0.2,15249.734053238
"427",0.3,10,0.7,0.2,14601.1498881921
"428",0.3,10,0.8,0.2,14139.6367743676
"429",0.3,10,0.9,0.2,13804.1316969638
"430",0.3,10,1,0.2,13554.4917793936
"431",0.3,10,1.1,0.2,13364.5859622596
"432",0.3,10,1.2,0.2,13217.1892702461
"433",0.3,10,1.3,0.2,13100.717452996
"434",0.3,10,1.4,0.2,13007.2073493482
"435",0.3,10,1.5,0.2,12931.0660914374
"436",0.3,10,1.6,0.2,12868.285383667
"437",0.3,10,1.7,0.2,12815.938491019
"438",0.3,10,1.8,0.2,12771.8516250112
"439",0.3,10,1.9,0.2,12734.3849141403
"440",0.3,10,2,0.2,12702.2835889343
"441",0.3,10,0.1,0.3,21943.333571509
"442",0.3,10,0.2,0.3,20736.2767666681
"443",0.3,10,0.3,0.3,19232.2511149819
"444",0.3,10,0.4,0.3,17712.3382300858
"445",0.3,10,0.5,0.3,16494.1730026813
"446",0.3,10,0.6,0.3,15616.0930181493
"447",0.3,10,0.7,0.3,14996.4845183371
"448",0.3,10,0.8,0.3,14554.382704999
"449",0.3,10,0.9,0.3,14232.2142440154
"450",0.3,10,1,0.3,13992.0165366852
"451",0.3,10,1.1,0.3,13808.9941648459
"452",0.3,10,1.2,0.3,13666.7508217876
"453",0.3,10,1.3,0.3,13554.2289546979
"454",0.3,10,1.4,0.3,13463.8094421199
"455",0.3,10,1.5,0.3,13390.1303132711
"456",0.3,10,1.6,0.3,13329.3422347258
"457",0.3,10,1.7,0.3,13278.6305016552
"458",0.3,10,1.8,0.3,13235.9019773997
"459",0.3,10,1.9,0.3,13199.5759806256
"460",0.3,10,2,0.3,13168.4419431908
"461",0.3,10,0.1,0.4,21971.5642859897
"462",0.3,10,0.2,0.4,20820.9982452165
"463",0.3,10,0.3,0.4,19384.6190190218
"464",0.3,10,0.4,0.4,17935.8121059003
"465",0.3,10,0.5,0.4,16778.9998825644
"466",0.3,10,0.6,0.4,15946.3360931577
"467",0.3,10,0.7,0.4,15358.3620884221
"468",0.3,10,0.8,0.4,14938.1781951493
"469",0.3,10,0.9,0.4,14631.4634295672
"470",0.3,10,1,0.4,14402.4327400866
"471",0.3,10,1.1,0.4,14227.6860865837
"472",0.3,10,1.2,0.4,14091.7219453884
"473",0.3,10,1.3,0.4,13984.0663668609
"474",0.3,10,1.4,0.4,13897.4895322713
"475",0.3,10,1.5,0.4,13826.8953566606
"476",0.3,10,1.6,0.4,13768.6202879539
"477",0.3,10,1.7,0.4,13719.9822239009
"478",0.3,10,1.8,0.4,13678.9845421522
"479",0.3,10,1.9,0.4,13644.1180721213
"480",0.3,10,2,0.4,13614.2260958034
