"","sigma","omega.1","omega.2","omega.3","rho","lp__","subjid"
"139",0.238058177232552,0.876667744852297,0.0473695611128533,0.0759626940348493,0.331381567696146,-9393.65302003377,2077
"140",0.23891097289593,0.876278914569816,0.0436923257500997,0.0800287596800842,0.306724806140201,-9391.67381257135,2077
"141",0.225322296239335,0.871097258161807,0.0482678385295651,0.080634903308628,0.295562596824631,-9393.30808253159,2077
"142",0.227213178561097,0.871450363634883,0.0472330777707843,0.0813165585943325,0.309413927727609,-9392.26682532102,2077
"143",0.226722999300419,0.859664416648436,0.0483404139590543,0.0919951693925096,0.300793190179017,-9394.66796311249,2077
"144",0.227793863485629,0.868194745391043,0.0482696653435178,0.0835355892654392,0.314344451474225,-9391.86580355941,2077
"145",0.237238367325408,0.873715596618071,0.0446293680014842,0.0816550353804452,0.308673587789871,-9391.37887132795,2077
"146",0.236636001310364,0.87703011790706,0.0431301947627218,0.0798396873302181,0.227628897697109,-9397.53377072292,2077
"147",0.242973228615077,0.875624538528358,0.0419388225042083,0.0824366389674339,0.300796634532117,-9393.74437842545,2077
"148",0.245458905495373,0.879295524544911,0.0416277627023025,0.0790767127527863,0.288289531027023,-9393.52280828821,2077
"149",0.244440196941935,0.869021066472427,0.0494157032582834,0.0815632302692897,0.273009404325017,-9395.37423020812,2077
"150",0.244167178738867,0.879065710072823,0.0463284711968745,0.0746058187303022,0.283730016188576,-9393.04373767414,2077
"151",0.232962426421885,0.875561148003616,0.0463922730615229,0.0780465789348607,0.284766965093865,-9391.76815133747,2077
"152",0.237268347224706,0.872401136928206,0.047352979480839,0.0802458835909555,0.294073918369672,-9391.04610842734,2077
"153",0.238810329702676,0.869315613503133,0.0464089110904829,0.0842754754063841,0.2872694480872,-9391.91789175498,2077
"154",0.231295115866009,0.870988569858723,0.0450929739820847,0.0839184561591927,0.318195377328401,-9392.02803033291,2077
"155",0.236515876982518,0.873787323969273,0.048113572838457,0.0780991031922703,0.273520523560725,-9392.15096983405,2077
"156",0.232172949081178,0.868393118511533,0.0496179222393349,0.0819889592491318,0.323061529601823,-9392.23347818582,2077
"157",0.224742078498055,0.868510257923777,0.0478361929870916,0.0836535490891318,0.286497818092006,-9393.2719312794,2077
"158",0.237983522080676,0.872613689585853,0.0427519170252159,0.0846343933889309,0.285058058658118,-9393.11293620504,2077
"159",0.235501864731649,0.878240753038263,0.0456535159271463,0.0761057310345907,0.292783910147927,-9391.88840953063,2077
"160",0.218700246942232,0.865614392022286,0.0493458770836325,0.0850397308940819,0.31305924067516,-9395.7747269305,2077
